PC4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,GEBOORTE,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,P_HUURWON,P_KOOPWON,WON_HCORP,WON_MRGEZ,WON_NBEW,G_GAS_WON,G_ELEK_WON,M_INKHH,P_LINK_HH,P_HINK_HH,UITKMINAOW,AFS_SUPERM,AV1_SUPERM,AV3_SUPERM,AV5_SUPERM,AFS_DAGLMD,AV1_DAGLMD,AV3_DAGLMD,AV5_DAGLMD,AFS_WARENH,AV5_WARENH,AV10WARENH,AV20WARENH,AFS_CAFE,AV1_CAFE,AV3_CAFE,AV5_CAFE,AFS_CAFTAR,AV1_CAFTAR,AV3_CAFTAR,AV5_CAFTAR,AFS_HOTEL,AV5_HOTEL,AV10_HOTEL,AV20_HOTEL,AFS_RESTAU,AV1_RESTAU,AV3_RESTAU,AV5_RESTAU,AFS_BSO,AV1_BSO,AV3_BSO,AV5_BSO,AFS_KDV,AV1_KDV,AV3_KDV,AV5_KDV,AFS_BRANDW,AFS_OPRIT,AFS_TRNOVS,AFS_TREINS,AFS_ATTRAC,AV10ATTRAC,AV20ATTRAC,AV50ATTRAC,AFS_BIOS,AV5_BIOS,AV10_BIOS,AV20_BIOS,AFS_MUS,AV5_MUS,AV10_MUS,AV20_MUS,AFS_PODIUM,AV5_PODIUM,AV10PODIUM,AV20PODIUM,AFS_BIBLIO,AF_IJSBAAN,AFS_POP,AFS_SAUNA,AFS_ZONBNK,AFS_ZWEMB,AFS_ONDBAS,AV1_ONDBAS,AV3_ONDBAS,AV5_ONDBAS,AFS_ONDHV,AV3_ONDHV,AV5_ONDHV,AV10_ONDHV,AFS_ONDVMB,AV3_ONDVMB,AV5_ONDVMB,AV10ONDVMB,AFS_ONDVRT,AV3_ONDVRT,AV5_ONDVRT,AV10ONDVRT,AFS_HAPRAK,AV1_HAPRAK,AV3_HAPRAK,AV5_HAPRAK,AFS_ZIEK_E,AV5_ZIEK_E,AV10ZIEK_E,AV20ZIEK_E,AFS_ZIEK_I,AV5_ZIEK_I,AV10ZIEK_I,AV20ZIEK_I,AFS_APOTH,OAD,STED
1011,9535,4975,4555,805,1195,3210,2960,1365,65,60,30,10,6330,4165,1250,375,500,1.5,6035,3580,115,115,795,385,670,365,70,30,2100,5840,645,870,2090,40-60 midden,50.1,18.9,880,0.3,7.1,72.5,135.3,0.3,69,587.8,984.6,0.5,13.4,25.5,45.1,0.1,135.1,616.6,813,0.2,113.2,583.6,817.8,0.2,347.4,383.5,449,0.1,198.4,1224,1684.1,0.4,4,51.5,138.4,0.3,6.9,95.6,234,0.7,4.4,1.2,1.2,1.1,4,8,46,1.1,12,13,18.1,0.4,43,46.2,65.7,0.5,37.6,46.9,60.3,1.2,4.4,2.2,1.4,1.2,2.2,0.5,2,35.3,104.7,1.9,6,19.8,34,2,5.8,20.8,42,1.5,11.5,39.1,64,0.4,4.4,60.9,130.3,2.2,1.2,6.1,10.4,1.5,2.2,8.1,14.7,0.5,6965,1
1012,8440,4590,3855,485,1365,4150,1790,650,75,50,30,20,6015,4325,1150,185,250,1.4,5595,4805,10,50,85,400,185,60,70,20,560,5265,1145,1070,2200,20-40 onder midden,56.6,15,605,0.3,7.7,69.4,137.3,0.1,140,598.1,996.8,0.4,13.1,25.6,49.1,0.1,209.6,640,816.9,0.1,202.3,593.2,826.2,0.1,351.1,383.5,452.9,0,336.8,1268.4,1692.4,0.6,2.5,57.6,140.3,0.4,4.4,107.4,241.1,1.3,4,0.8,0.8,1.8,4,8.1,45.6,0.9,12,13.1,19,0.3,42.4,46.4,67.1,0.4,36.7,47.7,62.7,1.3,5.3,1.7,0.7,0.6,1.7,0.6,1.6,37.2,105.4,1.7,6.8,19.6,34,2.3,5.5,20,42,1.7,11.7,37.8,64,0.3,7.2,57.8,130.3,2.9,2,6,11,0.7,3,8,15.1,0.4,8400,1
1013,21635,10740,10895,2670,2585,7800,6065,2515,255,60,20,20,13180,8120,2450,1000,1490,1.6,12620,7055,75,75,1625,1335,475,1985,70,20,6315,12460,785,890,2030,20-40 onder midden,55.2,16,2845,0.4,5.1,34.4,104,0.2,42.2,350.5,813.1,0.8,11.7,26,49.8,0.3,28.2,387.9,745.7,0.2,28.3,358.8,719.9,0.6,333.4,383.9,449.3,0.2,66.5,727.1,1478.2,0.3,5.3,29.6,100.5,0.4,5.8,50.1,167,2,2.9,1.7,1.7,3.7,3.7,8.1,46.8,0.9,11.1,14.1,18.8,0.8,41.2,46.4,66,0.6,35,44.5,61.4,0.8,7,2.9,1.7,0.8,1.5,0.4,3.8,20.8,78.9,1,3.2,11.7,33.2,2.7,1.3,14.4,39.2,1,3.7,26.3,61.7,0.4,4.4,30.7,99.3,4.2,2,5.3,12,2.4,3,7.3,16.4,0.6,6207,1
1014,535,330,205,30,65,335,80,25,10,60,20,20,285,150,105,5,20,1.6,245,20,5,5,5,20,185,-99997,90,10,10,200,30,1420,2180,60-80 boven midden,29.5,22.7,75,0.7,3,28.4,79,0.6,11.4,187.9,651.8,2.5,9.7,24,51.7,0.6,4.8,116.6,575.5,0.6,10.6,121.2,553.7,0.3,244.2,386.1,456.1,0.4,9.5,184.5,1094.6,0.6,2.8,31.4,81.2,0.6,4.8,49.3,133.2,1.6,0.5,1.6,1.6,5.9,3.9,9.5,45.2,2.2,7.8,14,19,2.7,24.9,47.1,69.4,1.2,21.1,43.6,64.2,1.3,9.3,4.3,2.9,1.3,2.1,0.8,2.9,27.7,65.1,2.4,2.2,7.1,33.3,1.5,4.5,10,39.3,1.4,6.1,15.2,62.7,1.2,1.1,29.1,76.8,3,1,6,12.8,3,2,7,17.8,1.2,2557,1
1015,14870,7495,7375,1455,1545,5340,4375,2155,145,60,20,10,9910,6575,1845,555,845,1.5,9910,7320,95,250,755,1070,340,80,70,30,3385,9435,1120,990,2010,40-60 midden,51.6,19.8,1450,0.3,9.9,57.1,134.2,0.1,111,552.2,982.9,0.9,13.3,26.8,50.9,0.1,85.3,601.6,815.6,0.1,77.4,543.1,816.3,0.3,352.8,384.6,456.8,0.1,195.1,1128.6,1669.7,0.3,6,53,126,0.3,9.9,87.5,226.7,1,3.1,1.3,1.3,3,3.8,7.8,46.8,0.9,11.9,13.8,19,0.3,41.3,47,66.9,0.6,37.1,46.8,63,1.1,6.4,1.7,0.7,0.5,0.6,0.4,4.3,35.2,100.5,0.8,4.5,20.3,33.5,1.7,3.5,20.5,41,0.8,7.8,38.5,63,0.2,11.4,53,124.1,3.8,2.1,5.9,12,1.3,3.1,7.9,16.3,0.4,10936,1
1016,10950,5660,5290,945,1215,4110,3065,1620,135,60,30,10,7305,4905,1435,345,535,1.5,7325,5715,50,35,375,850,185,115,70,30,1700,6965,1095,1050,2110,40-60 midden,49.7,21.6,870,0.3,12.5,72.8,140,0.1,125.8,675.9,1018.3,1,14.2,26.2,51,0.1,136.6,682.9,822.3,0.1,124.2,626.6,847.2,0.2,357,386.6,457.7,0.1,279.9,1339.7,1710.1,0.4,5.7,67.8,141,0.3,11.9,131.1,245,0.6,3.1,1.7,1.7,2.4,4,7.6,46.3,0.8,12,13,19,0.3,40.3,46.8,67.6,0.3,36.7,49,63,1.2,5.9,0.8,0.6,0.3,1,0.4,3.8,46.6,107.1,1,7,21.8,33.5,1.3,7.2,21.9,41.3,1,14.6,39.5,63.4,0.3,10.9,68.7,128.2,3.3,2,6.2,11.9,0.8,3,8.2,16.2,0.4,11121,1
1017,12730,6670,6060,1320,1585,5120,3110,1600,145,60,30,10,8200,5260,1720,310,790,1.5,7885,6305,160,105,320,455,395,150,60,40,590,7100,1440,1140,2360,40-60 midden,40.6,28.5,660,0.3,11.6,87.8,141.6,0.1,96.6,699.1,1022.4,0.9,14.8,26.6,45.6,0.1,133.8,662.2,817.6,0.1,106.6,634.4,850.9,0.1,352.4,387.8,453.7,0.1,265.6,1370.4,1720.2,0.5,4.9,67.2,150.6,0.3,9.7,139.5,250.8,1.2,3.1,2.2,2.2,1.5,4,8.4,47,0.5,12,13,18.4,0.4,42.2,47.9,66.9,0.5,36.6,49,61.5,1.5,4.7,0.8,1.1,0.6,1,0.5,3.2,48.4,108.7,0.8,13,21.5,34.9,1.3,10.3,22.4,42.2,0.7,21.8,40.1,64.9,0.3,6.4,75.4,131.2,2.1,2.2,7.3,10.5,1.3,3.2,9.3,14.5,0.3,9235,1
1018,20495,10365,10130,2255,2710,6845,6065,2620,200,60,20,20,12485,7850,2325,815,1380,1.6,11625,5680,150,650,1220,2575,945,405,70,30,5320,11435,795,910,2100,40-60 midden,51.3,18.7,2600,0.4,4.8,59.8,120.6,0.4,18,441,876.7,1.4,12.4,25.1,38.9,0.4,23.1,467.6,751.6,0.3,20.1,454.6,755.5,0.6,338.2,384.1,435.2,0.2,44.8,888.7,1575.6,0.4,4.9,48.3,120,0.4,7.4,77,201.6,1,4,2.3,1.7,1.1,4.1,8.1,45.3,1.1,11.7,13,17.3,0.7,42.8,45.8,61.1,1,33.4,46.2,56.5,1.6,3.6,2.9,2,1.2,2,0.5,2.1,33.6,85.9,1.3,4.9,17.2,34.4,1.3,5.8,17.4,41.5,1.2,10.9,32.7,63.5,0.6,3.7,53.5,112.5,1.7,1,5.9,10,1.7,2,7.9,13.8,0.6,6751,1
1019,18410,9265,9145,3365,1680,5940,6155,1265,245,60,20,20,9065,3870,2215,925,2005,2,8605,875,25,-99997,-99997,2010,4890,805,60,40,3240,7870,405,380,2580,60-80 boven midden,31.7,31.4,1680,0.8,2.1,25.6,76.5,0.7,7.7,132.5,579,2.7,9.7,22.4,36.4,0.8,3.7,114.4,572.8,0.5,4.1,121.3,567.6,0.9,260.4,378,425.4,0.2,12.4,208.9,1136.3,0.4,5,28.4,72.7,0.5,3.1,34.1,106.8,2.1,3.7,3.2,2.2,2.8,4,7.2,42.3,1.6,8.2,12.8,16.9,1.3,36.8,45,59.7,1.9,23.8,44.1,54.1,1.5,3.8,4.7,2,0.8,3,0.5,2.1,18.7,46,2.7,0.8,7.5,32.2,2.7,2.3,10,38.2,1.9,3.6,16.5,60.2,0.5,2.4,25.6,70.4,3.2,1,4.8,10,3.1,2.2,6.8,13,0.9,4202,1
1021,6945,3540,3405,1125,875,2365,1840,740,105,40,10,50,3725,2065,635,430,550,1.9,3480,1640,55,-99997,1010,645,-99997,130,80,20,2535,3400,155,960,1990,20-40 onder midden,65.5,6,1380,0.3,4.7,8.1,36.3,0.2,16.1,50.7,236.3,2.5,5.8,21.7,40,0.3,8.2,18.6,207.7,0.2,9.7,30.7,203.9,0.5,75.1,373,433.2,0.3,12.1,46.2,394.7,0.5,3.4,10.7,42.3,0.3,2,12.2,47.6,3.5,3.2,5,5,4.6,3,7,44,4.2,3.2,12,17,1,15.4,45,62.9,1.5,10.3,40.5,55,0.7,8,1.5,0.9,2.9,2,0.4,3.8,15.2,41.3,0.6,3,4.6,26.7,0.9,5,6,32.7,0.5,8,10.7,53.7,0.4,4.9,10.4,35.1,3.3,1,3,10,3.3,1,5,15,0.5,2680,1
