PC4,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,GEBOORTE,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,WON_1524,WON_MRGEZ,UITKMINAOW,OAD,STED
1011,9670,5020,4655,765,1095,3275,2835,1700,70,60,30,20,6435,4245,1315,330,495,1.5,6190,3620,145,120,840,390,630,395,55,5995,760,6995,1
1012,8420,4630,3785,445,1165,4370,1715,715,55,50,40,20,5960,4095,1330,185,265,1.4,5800,4770,20,70,110,480,225,110,20,5495,420,8458,1
1013,21335,10620,10715,2555,1835,7780,6090,3080,235,50,20,20,12630,7485,2595,955,1485,1.7,12340,6970,75,120,1620,1475,460,1285,335,12180,2485,6378,1
1014,1745,935,810,305,110,890,365,75,50,60,20,10,890,400,255,35,195,1.9,925,20,5,5,5,20,185,250,430,815,145,2901,1
1015,14885,7590,7295,1280,1560,5300,4280,2465,125,60,30,10,9820,6435,1950,490,860,1.5,9895,7290,110,235,760,1075,335,85,5,9415,1230,11009,1
1016,10915,5650,5265,795,1105,4250,2940,1825,90,60,30,10,7285,4790,1555,325,535,1.5,7575,5740,55,35,385,885,180,115,175,7215,730,11324,1
1017,12640,6640,6000,1135,1585,5095,3105,1720,100,60,30,10,8055,5040,1810,320,785,1.6,8065,6410,160,105,345,500,395,150,-99997,7280,545,9364,1
1018,20920,10695,10225,2120,2590,7215,5915,3080,190,60,20,20,12500,7660,2575,775,1390,1.6,11510,5145,145,200,1390,3020,980,405,230,11285,2325,6899,1
1019,18910,9520,9385,2805,1955,5850,6530,1770,220,60,20,20,9590,4150,2545,915,1910,2.0,9170,495,20,-99997,-99997,2385,4895,800,570,8435,1530,4304,1
1021,7110,3645,3465,1050,810,2515,1885,850,100,40,20,50,3855,2115,700,435,555,1.8,3600,1645,50,-99997,1010,645,-99997,130,120,3520,1260,2793,1
1022,3125,1580,1545,735,260,1230,695,205,65,50,20,30,1395,540,265,145,435,2.2,1285,660,-99997,-99997,-99997,-99997,-99997,435,185,705,240,2419,2
1023,4675,2205,2470,790,410,1020,1460,1000,50,80,10,10,2320,965,565,280,500,2.0,2210,1415,575,10,60,90,20,35,5,210,515,2553,1
1024,13185,6450,6735,2845,1770,4050,2975,1545,165,30,10,60,5885,2590,1020,825,1390,2.2,5555,95,320,3920,30,115,200,590,280,4690,1595,2593,1
