WKT;ID;SPANNINGSN
"POINT (52.6353048959759 6.08523353619102)";367044.0000000000;HS
"POINT (52.5224188132091 6.06479713774457)";367182.0000000000;HS
"POINT (52.6724392869699 5.93492262582604)";367529.0000000000;HS
"POINT (51.4526150081852 6.08503962563226)";403090.0000000000;HS
"POINT (52.2770630037085 6.13507767687708)";367930.0000000000;HS
"POINT (52.2430035592494 6.18819136940962)";367931.0000000000;HS
"POINT (52.3566136585586 6.62980640015455)";395493.0000000000;HS
"POINT (52.7148884213955 6.84225888780598)";395507.0000000000;HS
"POINT (52.3713892813291 6.46985613694839)";368253.0000000000;HS
"POINT (51.4668790089009 4.30614035888975)";394172.0000000000;HS
"POINT (51.4882711931013 5.41309635496397)";395108.0000000000;HS
"POINT (51.458766578198 5.66653592897332)";395110.0000000000;HS
"POINT (51.505073811763 4.2715540341339)";392537.0000000000;HS
"POINT (51.5730504558295 4.6077908335648)";404539.0000000000;HS
"POINT (51.0488365376235 5.83062856615465)";401988.0000000000;HS
"POINT (51.5818875968428 4.72824787670512)";395141.0000000000;HS
"POINT (51.1658365451859 5.9601996557493)";396481.0000000000;HS
"POINT (51.3062156222218 5.98303070537025)";401359.0000000000;HS
"POINT (52.5283022194232 6.40846591778249)";397316.0000000000;HS
"POINT (53.1602543638083 6.72156570494876)";397475.0000000000;HS
"POINT (52.7370423160351 6.47588129347783)";372545.0000000000;HS
"POINT (51.6078597063068 4.77528822446011)";391885.0000000000;HS
"POINT (51.7052915362096 5.08823828184283)";397284.0000000000;HS
"POINT (51.5466676330102 4.48452726066474)";398468.0000000000;HS
"POINT (52.7379549046231 7.01089666336728)";398665.0000000000;HS
"POINT (52.5743678161665 6.5981146514645)";398611.0000000000;HS
"POINT (51.4095193751095 5.46556530419406)";399572.0000000000;HS
"POINT (51.7093252115932 5.29901457823573)";401461.0000000000;HS
"POINT (52.9753860295474 6.96802581601355)";400914.0000000000;HS
"POINT (52.8879913224897 6.51776770955371)";373382.0000000000;HS
"POINT (52.3579013894248 6.12635284993188)";368469.0000000000;HS
"POINT (52.3024749533286 6.47552000506296)";368606.0000000000;HS
"POINT (51.5103672615466 5.67104770456813)";409325.0000000000;HS
"POINT (52.5313044743053 6.18653829042698)";369179.0000000000;HS
"POINT (52.6838278864436 6.18973243820182)";369245.0000000000;HS
"POINT (52.7774897608095 6.14258180465739)";369590.0000000000;HS
"POINT (51.6461193636195 4.9263561797711)";393861.0000000000;HS
"POINT (51.6061518630256 5.48905728840564)";390341.0000000000;HS
"POINT (51.6940787338812 4.84422909454119)";393975.0000000000;HS
"POINT (51.6215569842599 4.39578240694752)";409760.0000000000;HS
"POINT (51.7677465553589 4.79189364963226)";395986.0000000000;HS
"POINT (52.659063292352 6.71118198348623)";396003.0000000000;HS
"POINT (51.373101320755 5.27040903519782)";394470.0000000000;HS
"POINT (52.5598224988102 5.87924434998841)";366304.0000000000;HS
"POINT (52.3779879427729 6.27138394896465)";366537.0000000000;HS
"POINT (53.1244627847116 6.94477557795242)";392470.0000000000;HS
"POINT (53.0911499090031 6.88016010364367)";376324.0000000000;HS
"POINT (53.2266013318753 6.56444990564813)";374639.0000000000;HS
"POINT (53.2126001285818 6.54570838456587)";374641.0000000000;HS
"POINT (52.2505109625099 7.00554517880759)";365170.0000000000;HS
"POINT (53.2097324450513 6.59470353163929)";374640.0000000000;HS
"POINT (53.4301683070995 6.86998258982932)";374837.0000000000;HS
"POINT (53.304250323867 6.9577393350288)";375066.0000000000;HS
"POINT (53.3500719312604 6.50066330426296)";374860.0000000000;HS
"POINT (53.2062494454444 6.59449800954007)";375077.0000000000;HS
"POINT (53.2108760119356 6.4790364372402)";375222.0000000000;HS
"POINT (51.5760329130012 5.32135284426103)";380630.0000000000;HS
"POINT (52.1171771745168 6.63812662477216)";380603.0000000000;HS
