WKT;ID;SPANNINGSN
"POINT (52.5650165057642 6.60715130932607)";6276163.0000000000;LS
"POINT (52.5650476598228 6.60833697813839)";6276164.0000000000;LS
"POINT (53.2219787378606 6.9466250468309)";6275349.0000000000;LS
"POINT (52.9861261226607 6.58068163640995)";6275352.0000000000;LS
"POINT (52.7806251536972 6.69579199860729)";6273689.0000000000;LS
"POINT (52.7822558709409 6.69597512432023)";6273686.0000000000;LS
"POINT (52.7828386778965 6.69321306995382)";6273687.0000000000;LS
"POINT (52.7813585558446 6.69313187876327)";6273688.0000000000;LS
"POINT (52.7803084296726 6.69149928724445)";6273690.0000000000;LS
"POINT (52.7786218234264 6.68820257546581)";6273691.0000000000;LS
"POINT (52.79014373556 6.72330105921474)";6273692.0000000000;LS
"POINT (52.7905753015639 6.72531190796684)";6273693.0000000000;LS
"POINT (52.7886628645887 6.72390370063812)";6273694.0000000000;LS
"POINT (52.7262079098471 6.68008423176886)";6273695.0000000000;LS
"POINT (52.7464818081081 6.68823929816624)";6273696.0000000000;LS
"POINT (52.7636419947731 6.34905871042997)";6273697.0000000000;LS
"POINT (53.0051754083185 6.53967467411948)";6273698.0000000000;LS
"POINT (53.0063567607664 6.53869190092958)";6273699.0000000000;LS
"POINT (53.0054324724436 6.54305184927218)";6273700.0000000000;LS
"POINT (53.011034330182 6.54488178763474)";6273701.0000000000;LS
"POINT (53.0098060976819 6.54280638419778)";6273702.0000000000;LS
"POINT (53.0072322472396 6.53796078543806)";6273703.0000000000;LS
"POINT (53.0117779358352 6.54368025212265)";6273704.0000000000;LS
"POINT (52.9477517531337 6.44793405241348)";6273705.0000000000;LS
"POINT (53.0013412964775 6.5361400836125)";6273706.0000000000;LS
"POINT (51.4136524549814 5.82999289977514)";6275385.0000000000;LS
"POINT (52.7244217166028 6.67034200140075)";6273708.0000000000;LS
"POINT (52.8439582593202 6.35669383947966)";6273709.0000000000;LS
"POINT (52.8174708451926 6.33880952233172)";6273710.0000000000;LS
"POINT (52.8796166901441 7.0546034910012)";6273711.0000000000;LS
"POINT (53.0016873810385 7.12888766873409)";6273713.0000000000;LS
"POINT (52.8327205062875 6.35850379072119)";6273714.0000000000;LS
"POINT (53.2249862568642 6.53857342310302)";6273715.0000000000;LS
"POINT (52.5679336940395 6.58288569369753)";6276165.0000000000;LS
"POINT (53.3672420964289 6.77439319017247)";6273716.0000000000;LS
"POINT (51.4807500537238 4.29666020332601)";6274880.0000000000;LS
"POINT (53.0786988071964 6.695175478649)";6273725.0000000000;LS
"POINT (50.9892913073718 5.85142832272973)";6274881.0000000000;LS
"POINT (52.8066022135376 6.99138592089748)";6275387.0000000000;LS
"POINT (53.1391609758355 6.92489000299717)";6275389.0000000000;LS
"POINT (52.8643870053919 6.52236166309604)";6275390.0000000000;LS
"POINT (53.2641776073872 6.39499047664919)";6276167.0000000000;LS
"POINT (53.2257346248499 6.53828891140164)";6273729.0000000000;LS
"POINT (52.8127742733956 7.04985410862038)";6274882.0000000000;LS
"POINT (52.8148510478256 7.0267814256843)";6274883.0000000000;LS
"POINT (53.1998888441115 6.55412594239472)";6274884.0000000000;LS
"POINT (53.1986319683101 6.55304350036518)";6274885.0000000000;LS
"POINT (53.1692158237039 6.62720278776625)";6274886.0000000000;LS
"POINT (53.0000602555443 6.54223375517896)";6276704.0000000000;LS
"POINT (51.2518113694142 5.70599140645217)";6274888.0000000000;LS
"POINT (53.0189782533809 6.5484300088037)";6276705.0000000000;LS
"POINT (51.6423349548109 5.82507486538025)";6273044.0000000000;LS
"POINT (51.6283868214031 4.85577800086335)";6273046.0000000000;LS
"POINT (53.0919325929387 6.90033151343673)";6275394.0000000000;LS
"POINT (51.5137804219322 4.44816061454043)";6273049.0000000000;LS
"POINT (53.0004580464873 6.54894861751352)";6276706.0000000000;LS
"POINT (53.0426219716485 6.57171042225693)";6276173.0000000000;LS
"POINT (52.9226841121922 6.78849220814464)";6273056.0000000000;LS
"POINT (52.922976026982 6.79772966275724)";6273057.0000000000;LS
"POINT (52.9194321982621 6.79904309950916)";6273058.0000000000;LS
"POINT (52.9179091186537 6.79937895720552)";6273059.0000000000;LS
"POINT (52.6071547028905 6.4757703326998)";6275395.0000000000;LS
"POINT (53.1686049212449 7.00058128173415)";6275396.0000000000;LS
"POINT (50.9741764511516 5.77921465534942)";6276175.0000000000;LS
"POINT (53.0032944507591 6.53749991984658)";6276707.0000000000;LS
"POINT (52.9170967796858 6.79810609603254)";6273060.0000000000;LS
"POINT (52.9203298950658 6.79948462660294)";6273061.0000000000;LS
"POINT (52.9630491182148 6.9746649916034)";6273062.0000000000;LS
"POINT (52.9617393487879 6.97615974849245)";6273063.0000000000;LS
"POINT (52.961051910823 6.97784128516782)";6273064.0000000000;LS
"POINT (52.9602398146109 6.9788700214143)";6273065.0000000000;LS
"POINT (52.9600683969017 6.97758687830422)";6273066.0000000000;LS
"POINT (52.9565888959662 6.98304921248159)";6273067.0000000000;LS
"POINT (52.9563081122827 6.9826243754451)";6273068.0000000000;LS
"POINT (53.0028853455887 7.08494740945967)";6273069.0000000000;LS
"POINT (53.0015924028935 7.08692092728531)";6273070.0000000000;LS
"POINT (52.9999996959449 7.08857667590197)";6273071.0000000000;LS
"POINT (52.9964006500385 7.09608722375915)";6273072.0000000000;LS
"POINT (52.9952696972206 7.09975523961233)";6273073.0000000000;LS
"POINT (53.041547433783 7.09806902386287)";6273074.0000000000;LS
"POINT (53.4069139997252 6.67823608046344)";6273075.0000000000;LS
"POINT (53.3022359186178 6.59595313056192)";6273076.0000000000;LS
"POINT (50.8861131624836 5.76145241172854)";6238537.0000000000;LS
"POINT (51.5220274221811 5.97311328622119)";6238538.0000000000;LS
"POINT (50.8662239320949 5.83530054397592)";6238539.0000000000;LS
"POINT (50.8986149570553 5.73657086994658)";6238542.0000000000;LS
"POINT (53.3016450199054 6.59347928933887)";6273077.0000000000;LS
"POINT (53.3722062100593 6.42143260693654)";6273078.0000000000;LS
"POINT (51.6832595862806 5.08362083322409)";6212929.0000000000;LS
"POINT (51.6879112788816 5.09286353997831)";6212931.0000000000;LS
"POINT (53.3885743063636 6.56001864883943)";6273080.0000000000;LS
"POINT (53.140935224055 6.5487589229301)";6273082.0000000000;LS
"POINT (53.1409623532705 6.54874980260026)";6273083.0000000000;LS
"POINT (53.1167524382263 6.81987327375469)";6276709.0000000000;LS
"POINT (53.1139220879119 6.82175280706595)";6276710.0000000000;LS
"POINT (53.411524689269 6.69967241862551)";6273079.0000000000;LS
"POINT (53.1165116228709 6.81919671443313)";6276711.0000000000;LS
"POINT (51.4394597315896 5.97846903968217)";6238524.0000000000;LS
"POINT (51.6875037542695 5.09030894882105)";6212930.0000000000;LS
"POINT (51.4589146753125 6.04609327598066)";6238525.0000000000;LS
"POINT (51.4186336007047 5.13707675614377)";6212932.0000000000;LS
"POINT (51.3875328799442 5.13354962402221)";6212933.0000000000;LS
"POINT (51.3877757693003 5.13186356532901)";6212934.0000000000;LS
"POINT (51.3869231477973 5.13069246753721)";6212935.0000000000;LS
"POINT (51.3865262332817 5.12934151253623)";6212936.0000000000;LS
"POINT (51.3890521508215 5.13370951139249)";6212937.0000000000;LS
"POINT (51.3897937679709 5.13025496458893)";6212938.0000000000;LS
"POINT (51.3909515711583 5.13245692610051)";6212939.0000000000;LS
