WKT;ID;SPANNINGSN
"POINT (52.3070732916447 6.52360945508567)";368565.0000000000;LS
"POINT (52.2959644989339 6.52720680688411)";368566.0000000000;LS
"POINT (52.3057558946978 6.50507659295729)";368567.0000000000;LS
"POINT (52.3034104409475 6.48750999127147)";368568.0000000000;LS
"POINT (52.3175595094894 6.52859097247955)";368569.0000000000;LS
"POINT (52.47732610093 6.49576189637463)";391953.0000000000;LS
"POINT (52.4538917371155 6.47047928725251)";391954.0000000000;LS
"POINT (52.3370312910287 6.20823769134604)";368445.0000000000;LS
"POINT (52.3580250086413 6.12810612907618)";368446.0000000000;LS
"POINT (52.352181441125 6.1686686906046)";368444.0000000000;LS
"POINT (52.319843308442 6.0828980189547)";368447.0000000000;LS
"POINT (52.3324459493297 6.10896549723408)";368449.0000000000;LS
"POINT (52.3007777657061 6.12304670236997)";368450.0000000000;LS
"POINT (52.3304936474812 6.17195090275032)";368451.0000000000;LS
"POINT (52.3494965892554 6.15939359007892)";368452.0000000000;LS
"POINT (52.3332130691462 6.21997441437038)";368500.0000000000;LS
"POINT (52.3453701907018 6.17690815504221)";368501.0000000000;LS
"POINT (52.3443114870452 6.15273154661753)";368503.0000000000;LS
"POINT (52.3343907494528 6.16733955983339)";368504.0000000000;LS
"POINT (52.2298501374206 6.65977863394725)";400699.0000000000;LS
"POINT (51.2641357569723 5.93061520992916)";391898.0000000000;LS
"POINT (51.8010076911005 4.93415072962923)";397854.0000000000;LS
"POINT (53.4078549410881 6.1986841440969)";395836.0000000000;LS
"POINT (51.805924300725 4.94162279687724)";397855.0000000000;LS
"POINT (52.3055758494265 6.52283394171598)";368570.0000000000;LS
"POINT (52.3129558921002 6.51947138355762)";368571.0000000000;LS
"POINT (52.4487619004506 6.46941520551229)";391955.0000000000;LS
"POINT (52.4431082120293 6.49723050510323)";391956.0000000000;LS
"POINT (53.008049867323 6.5457570038554)";407830.0000000000;LS
"POINT (52.8425293709591 6.6543880310084)";407831.0000000000;LS
"POINT (51.8076875198794 4.9458851904079)";397856.0000000000;LS
"POINT (51.4653348553214 5.78992146980149)";335534.0000000000;LS
"POINT (51.6809433919229 5.05103832858866)";345240.0000000000;LS
"POINT (51.7372768288924 5.20071813993984)";391835.0000000000;LS
"POINT (51.6773110262233 5.05456811705636)";391836.0000000000;LS
