WKT;ID;SPANNINGSN
"POINT (52.6706828228645 6.99618725626782)";370453.0000000000;MS
"POINT (52.6948074842687 6.86055670568847)";370458.0000000000;MS
"POINT (52.4359604879697 6.23481050190451)";366208.0000000000;MS
"POINT (52.4430191029009 6.23007913654748)";366209.0000000000;MS
"POINT (52.6231065506292 6.04695684998133)";366082.0000000000;MS
"POINT (52.565147801236 5.88257630518839)";366371.0000000000;MS
"POINT (52.6266377336987 6.06057159360951)";366118.0000000000;MS
"POINT (52.3810415787283 7.01240195269663)";405735.0000000000;MS
"POINT (52.5813399329617 6.05235386247997)";366150.0000000000;MS
"POINT (52.5938783228383 6.0995493268007)";366156.0000000000;MS
"POINT (52.5109477531406 6.25554835187101)";365880.0000000000;MS
"POINT (52.5726391798232 6.29363527748443)";391528.0000000000;MS
"POINT (52.5612901101398 5.92166065890005)";366305.0000000000;MS
"POINT (52.5308769838525 6.30751529672368)";365887.0000000000;MS
"POINT (51.6898052024206 5.31106962651154)";392416.0000000000;MS
"POINT (52.5612700888836 5.9102243770589)";366320.0000000000;MS
"POINT (51.7066002624259 5.26667691295727)";408055.0000000000;MS
"POINT (52.3800856781106 6.28213698927414)";366609.0000000000;MS
"POINT (52.3769073949305 6.26845318612273)";366614.0000000000;MS
"POINT (52.2361245370362 6.44697567885606)";392474.0000000000;MS
"POINT (51.533789682535 5.06386986391658)";394341.0000000000;MS
"POINT (52.3928294730638 6.26738470096902)";366511.0000000000;MS
"POINT (51.4692690713737 5.41717769688171)";408654.0000000000;MS
"POINT (52.4281996071792 6.1449236580081)";366820.0000000000;MS
"POINT (52.4162361686554 6.19088590196555)";366829.0000000000;MS
"POINT (52.3366021922457 6.28115534337823)";366564.0000000000;MS
"POINT (52.3181238498761 6.31231633171034)";366563.0000000000;MS
"POINT (51.2858181203421 5.58577472469721)";392833.0000000000;MS
"POINT (52.3856209411958 6.29511984745246)";366569.0000000000;MS
"POINT (52.4048579487066 6.36378412053434)";366571.0000000000;MS
"POINT (52.3190047839469 6.35090438540636)";366708.0000000000;MS
"POINT (52.3828949526768 6.13606536246408)";366850.0000000000;MS
"POINT (52.3844778263459 6.27487600067691)";366580.0000000000;MS
"POINT (52.513381965679 6.12096086908272)";367321.0000000000;MS
"POINT (51.5560333078664 5.08779399128388)";395860.0000000000;MS
"POINT (52.3440847740218 6.22062511474376)";368448.0000000000;MS
"POINT (52.3020089205725 6.4996464578479)";368573.0000000000;MS
"POINT (52.2576038655985 6.52914557289817)";391962.0000000000;MS
"POINT (52.2616390319346 6.5856083106278)";391965.0000000000;MS
"POINT (51.3484306349366 5.45667113090846)";391814.0000000000;MS
"POINT (51.7614170528654 5.53703305735643)";391821.0000000000;MS
"POINT (51.765661507748 5.50575726178217)";391822.0000000000;MS
"POINT (52.3086352912533 6.52393415107066)";368539.0000000000;MS
"POINT (52.359236647697 6.11019344259443)";368426.0000000000;MS
"POINT (52.3382616890752 6.11112420559494)";368429.0000000000;MS
"POINT (52.5264725991566 6.075734909168)";410426.0000000000;MS
"POINT (52.5829841424893 6.0871248462934)";369040.0000000000;MS
"POINT (52.532852245028 6.06272274226479)";369035.0000000000;MS
"POINT (52.5016048681914 6.08519446126772)";368935.0000000000;MS
"POINT (52.4930693600642 6.13731707852583)";368936.0000000000;MS
"POINT (52.3892431599384 6.45087314320373)";368816.0000000000;MS
"POINT (51.6909985984655 5.30470950091604)";394930.0000000000;MS
"POINT (52.3835071043492 6.60690421644844)";404060.0000000000;MS
"POINT (52.2470269717268 6.18544849046917)";368825.0000000000;MS
"POINT (52.3160991595303 6.51257415922915)";368854.0000000000;MS
"POINT (52.2626677817742 6.22369543508409)";368889.0000000000;MS
"POINT (52.2534379086073 6.1608813721911)";368766.0000000000;MS
"POINT (52.7420643998822 6.1934031115853)";369388.0000000000;MS
"POINT (52.6853927035543 6.17764437881951)";369287.0000000000;MS
"POINT (52.615686391119 6.18683068100709)";369422.0000000000;MS
"POINT (52.6973825013073 6.17716490318916)";369306.0000000000;MS
"POINT (52.6668633845394 6.26218108279859)";369438.0000000000;MS
"POINT (52.6351510420282 6.21151153644391)";369554.0000000000;MS
"POINT (52.6926037619487 6.18948050013036)";369314.0000000000;MS
"POINT (52.5845537678356 6.19642810187155)";369441.0000000000;MS
"POINT (52.6910717581443 6.17103591201217)";369327.0000000000;MS
"POINT (52.6958864814349 6.21873246237895)";369331.0000000000;MS
"POINT (51.6923344462111 5.20773011636582)";393209.0000000000;MS
"POINT (52.6431933939177 6.20314320126465)";369466.0000000000;MS
"POINT (52.6766341514368 6.19672020515353)";369469.0000000000;MS
"POINT (51.5395989052234 5.70860683162231)";409326.0000000000;MS
"POINT (52.7880937611453 6.11150622007495)";369591.0000000000;MS
"POINT (52.7968239123393 6.09471740571533)";369592.0000000000;MS
"POINT (52.7870597034368 6.04508595076823)";369651.0000000000;MS
"POINT (52.7404926996763 6.07806061343586)";369716.0000000000;MS
"POINT (52.722158961374 6.07839964562468)";369715.0000000000;MS
"POINT (52.7748655177568 6.15210801865987)";369595.0000000000;MS
"POINT (52.6573901215536 6.09955653876804)";369722.0000000000;MS
"POINT (52.6812924045547 5.95831443459888)";369720.0000000000;MS
"POINT (52.7278795609681 5.96099148101057)";369724.0000000000;MS
"POINT (52.674690366316 6.09017256976157)";369746.0000000000;MS
"POINT (51.5094990595604 5.39489382334478)";399920.0000000000;MS
"POINT (52.8248329873197 6.06061388828926)";369624.0000000000;MS
"POINT (51.3501841387925 5.61216388771197)";390312.0000000000;MS
"POINT (51.4517260969824 5.81514405910742)";335538.0000000000;MS
"POINT (51.4625539520909 5.1342087890632)";390437.0000000000;MS
"POINT (51.0357516360772 5.79802894108863)";409551.0000000000;MS
"POINT (52.4806847082567 6.56995493089473)";390529.0000000000;MS
"POINT (52.4708801100871 6.46923942913821)";390527.0000000000;MS
"POINT (51.6905803974213 5.31699138471068)";390348.0000000000;MS
"POINT (52.8220236167025 5.97180948404591)";369886.0000000000;MS
"POINT (52.2594107603345 6.8025552147182)";390550.0000000000;MS
"POINT (52.5606944882378 5.88781024589299)";405581.0000000000;MS
"POINT (51.4063108342271 6.10080067899558)";398095.0000000000;MS
"POINT (51.7096931643167 5.19961742188478)";398130.0000000000;MS
"POINT (51.4360331520314 5.56022265337635)";399923.0000000000;MS
"POINT (51.5492131603827 5.80799115263927)";402490.0000000000;MS
"POINT (53.1432326375319 6.439020780112)";390688.0000000000;MS
"POINT (53.1431831269956 6.4390459334514)";390689.0000000000;MS
"POINT (51.5635130924422 5.05157729972564)";394258.0000000000;MS
"POINT (51.5234391996008 5.02470334241082)";398977.0000000000;MS
"POINT (51.6978708361856 5.05287791266679)";345302.0000000000;MS
"POINT (51.5031376907005 5.40439743619396)";392260.0000000000;MS
"POINT (52.572090000343 5.87132202065625)";390705.0000000000;MS
"POINT (52.7497030357941 5.9992062000546)";369866.0000000000;MS
"POINT (52.277043727014 6.13543634721196)";390609.0000000000;MS
"POINT (52.267254148178 6.19033039646339)";392307.0000000000;MS
"POINT (51.4872812105592 5.65273684016708)";395601.0000000000;MS
"POINT (52.7394982515148 6.4736110956334)";390639.0000000000;MS
"POINT (51.5631602814113 4.62210851324399)";348033.0000000000;MS
"POINT (52.5544165914481 5.89806833489555)";405582.0000000000;MS
"POINT (52.4658668642096 6.61668579314324)";394006.0000000000;MS
"POINT (50.8922482369443 5.97178225348033)";401625.0000000000;MS
"POINT (51.697518486019 5.06211155751782)";345311.0000000000;MS
"POINT (51.6918525319346 5.05623138310473)";345323.0000000000;MS
"POINT (51.7062634279526 5.43891657841512)";396667.0000000000;MS
"POINT (51.5047672535141 5.49130205456223)";399177.0000000000;MS
"POINT (52.5184782215366 6.09100619376575)";405585.0000000000;MS
"POINT (50.9191708607924 5.9297386003611)";398134.0000000000;MS
"POINT (52.3223129138902 6.72601031961388)";400778.0000000000;MS
