# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  215,20140715,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
  215,20140716,  317,   12,   17,   50,   14,    0,    1,   70,   13,  182,  121,    4,  246,   13,  113,    6,  134,   82, 2595,    0,    0,    0,    1,10217,10222,    6,10212,   19,    2,    2,   76,   11,    2,   84,  100,    4,   61,   11,   46
  215,20140717,    8,   17,   30,   50,   15,   10,    1,   80,   19,  211,  140,    4,  254,   11,  126,    6,  117,   72, 2558,    0,    0,    0,    1,10210,10221,   11,10196,   24,    4,    1,   81,   16,    2,   75,  100,    1,   57,    9,   47
  215,20140718,   95,   33,   36,   50,    7,   20,   20,  120,   24,  249,  182,    5,  309,   14,  170,    6,  138,   85, 2595,    0,    0,    0,    1,10158,10193,    1,10128,   20,   61,    4,   82,   16,    1,   66,   86,    3,   47,   12,   51
  215,20140719,  118,   15,   41,   70,   14,   10,   21,  140,   24,  257,  194,   24,  336,   14,  187,   24,   77,   48, 2022,    0,   -1,   -1,    1,10099,10132,    1,10085,   16,   62,   24,   82,   14,    5,   65,   87,   24,   34,   13,   40
  215,20140720,  315,   20,   25,   40,    1,   10,    5,  100,    3,  203,  173,   23,  235,   11,  165,   24,   22,   14, 1391,    6,   50,   50,    4,10100,10123,   24,10077,    2,   25,   23,   75,   15,    7,   91,   98,   21,   74,   15,   25
  215,20140721,  343,   53,   54,   70,   21,   30,    4,  120,   23,  187,  179,    4,  199,   13,  179,    6,    1,    1,  514,   25,   16,    8,   15,10151,10176,   22,10120,    2,   23,   15,   61,   10,    8,   96,   98,    3,   92,   11,    9
  215,20140722,   26,   46,   49,   70,    2,   30,    6,  110,   18,  226,  186,    1,  269,   16,  182,    6,  128,   80, 2630,    2,   10,   10,    4,10193,10210,   22,10171,    2,   57,    2,   82,   16,    3,   75,   97,    2,   56,   15,   50
  215,20140723,   59,   53,   54,   80,   14,   30,    1,  120,   13,  235,  199,   24,  282,   15,  181,   24,  137,   86, 2748,    0,    0,    0,    1,10189,10203,    1,10174,   18,   70,    1,   83,   18,    2,   66,   87,    3,   41,   14,   53
  215,20140724,   59,   52,   53,   70,   10,   30,   24,  120,   12,  221,  179,    4,  267,   14,  162,    6,  119,   75, 2505,    0,    0,    0,    1,10166,10174,    8,10156,   17,   75,    1,   83,   18,    2,   63,   79,    1,   49,   15,   47
  215,20140725,   52,   25,   29,   50,   12,   10,   21,   90,   15,  190,  161,   22,  229,   11,  143,    6,    9,    6, 1037,    0,    0,    0,    1,10157,10167,    8,10145,   20,   40,   24,   82,   11,    7,   80,   98,   22,   62,   11,   19
  215,20140726,  312,   29,   33,   50,    9,    0,    5,   80,   10,  202,  163,    1,  247,   16,  159,    6,   98,   62, 2294,    0,    0,    0,    1,10141,10153,   23,10133,   14,    1,   24,   69,   16,    5,   90,  100,   23,   72,   16,   42
  215,20140727,  311,   26,   34,   50,   16,   20,    1,   80,   16,  193,  170,   24,  235,   12,  164,   24,   74,   47, 2094,    0,    0,    0,    1,10158,10166,    9,10151,    2,    2,    1,   74,   11,    6,   90,  100,    1,   75,   12,   38
  215,20140728,   39,   41,   45,   80,   13,   20,    1,  130,   13,  196,  162,    9,  239,   17,  160,   12,   54,   34, 1325,   56,  251,   84,    8,10126,10148,    1,10110,   15,   16,   10,   75,   14,    6,   89,   98,    8,   71,   16,   24
